Title,Location,Price,Bedrooms,Bathrooms,URL
Newly Built 4 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 250,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-3NVYJ
5 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 300,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-2NWAN
5 Bedroom Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 370,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-2NWER
Newly Built 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,"₦ 290,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-8NWNZ
2 Bedroom Apartment With Lounge,Lekki Phase 1 Lekki Lagos,"₦ 280,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-1NWBA
1 Bedroom Apartment,Surulere Lagos,"₦ 65,000,000",1,1,https://propertypro.ng/property/1-bedroom-flat-apartment-for-sale-surulere-lagos-6NVVP
2 Bedroom Apartment With Pool,Lekki Phase 1 Lekki Lagos,"₦ 280,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-0NWEQ
Luxurious 4 Bedroom Semi Detached Duplex With Bq,Ikota Lekki Lagos,"₦ 200,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ikota-lekki-lagos-0NVZJ
Tastefully Built 5 Bedroom Detached Duplex,Ajah Lagos,"₦ 290,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-8NYMH
Luxury 5 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 275,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-0NXCG
2 Bedroom Apartment,Surulere Lagos,"₦ 85,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-surulere-lagos-7NVVP
4 Bedroom Semi Detached Duplex With Bq,Ajah Lagos,"₦ 180,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-2NWBM
5 Bedroom Detached Duplex With Pool,Chevron Lekki Lagos,"₦ 750,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-chevron-lekki-lagos-2NWPA
5 Bedroom Detached Duplex With Bq,Ajah Lagos,"₦ 310,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-ajah-lagos-5NWRW
4 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 250,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-2NWDW
Newly Built 4 Bedroom Detached Duplex,Ajah Lagos,"₦ 230,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-ajah-lagos-3NWRW
5 Bedroom Detached Duplex With Bq,Osapa London Lekki Lagos,"₦ 1,600,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-osapa-london-lekki-lagos-5NWGX
Luxurious 4 Bedroom Semi Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 280,000,000",4,4,https://propertypro.ng/property/4-bedroom-house-for-sale-orchid-lekki-lagos-2NVYH
2 Bedroom Apartment With Bq,Ikate Lekki Lagos,"₦ 220,000,000",2,0,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikate-lekki-lagos-4NFZN
3 Bedroom Terrace Duplex With Bq,Ikota Lekki Lagos,"₦ 115,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-4NWSB
5 Bedroom Duplex,Lekki Phase 1 Lekki Lagos,"₦ 420,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-8NWPA
Beautiful Luxury 5 Bedroom Detached Duplex With Bq,Orchid Lekki Lagos,"₦ 385,000,000",5,5,https://propertypro.ng/property/5-bedroom-house-for-sale-orchid-lekki-lagos-1NVXT
Beautiful Luxury 3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,"₦ 360,000,000",3,3,https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-lekki-phase-1-lekki-lagos-9NVXR
2 Bedroom Apartment,Ikeja Gra Ikeja Lagos,"₦ 290,000,000",2,2,https://propertypro.ng/property/2-bedroom-flat-apartment-for-sale-ikeja-gra-ikeja-lagos-0NXBT
Newly Built 3 Bedroom Terrace Duplex With Bq,Lekki Phase 1 Lekki Lagos,"₦ 550,000,000",3,3,https://propertypro.ng/property/3-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-6NVXS
